,Current,Frequency,Signal
85,0.0,2.717,2.73561e-13
86,0.0,2.7172,1.70531e-13
87,0.0,2.7174,2.52244e-13
88,0.0,2.7176,1.1724e-13
89,0.0,2.7178,1.81189e-13
90,0.0,2.718,2.84219e-13
91,0.0,2.7182,5.25805e-13
92,0.0,2.7184,1.81189e-13
93,0.0,2.7186,1.954e-13
94,0.0,2.7188,1.42109e-13
95,0.0,2.719,3.55274e-14
96,0.0,2.7192,8.17128e-14
97,0.0,2.7194,3.76589e-13
98,0.0,2.7196,3.97906e-13
99,0.0,2.7198,4.22775e-13
100,0.0,2.72,3.30404e-13
101,0.0,2.7202,2.45139e-13
102,0.0,2.7204,2.06058e-13
103,0.0,2.7206,2.77113e-13
104,0.0,2.7208,1.88295e-13
105,0.0,2.721,3.26851e-13
106,0.0,2.7212,3.09088e-13
107,0.0,2.7214,2.87772e-13
108,0.0,2.7216,4.97382e-14
109,0.0,2.7218,2.66455e-13
110,0.0,2.722,4.26328e-14
111,0.0,2.7222,3.23299e-13
112,0.0,2.7224,2.84219e-13
113,0.0,2.7226,2.16716e-13
114,0.0,2.7228,3.33957e-13
115,0.0,2.723,2.5935e-13
116,0.0,2.7232,4.61855e-14
117,0.0,2.7234,6.7502e-14
118,0.0,2.7236,2.16716e-13
119,0.0,2.7238,3.19746e-14
120,0.0,2.724,1.5632e-13
121,0.0,2.7242,2.55797e-13
122,0.0,2.7244,2.91324e-13
123,0.0,2.7246,2.66455e-13
124,0.0,2.7248,7.46074e-14
125,0.0,2.725,1.5632e-13
126,0.0,2.7252,1.20793e-13
127,0.0,2.7254,5.68439e-14
128,0.0,2.7256,2.52244e-13
129,0.0,2.7258,2.48692e-13
130,0.0,2.726,1.13688e-13
131,0.0,2.7262,4.61855e-14
132,0.0,2.7264,1.38557e-13
133,0.0,2.7266,5.15147e-13
134,0.0,2.7268,3.908e-13
135,0.0,2.727,3.97906e-13
136,0.0,2.7272,4.40538e-13
137,0.0,2.7274,1.38557e-13
138,0.0,2.7276,1.70531e-13
139,0.0,2.7278,1.06582e-13
140,0.0,2.728,1.5632e-13
141,0.0,2.7282,2.80666e-13
142,0.0,2.7284,2.52244e-13
143,0.0,2.7286,1.24346e-13
144,0.0,2.7288,2.16716e-13
145,0.0,2.729,2.45139e-13
146,0.0,2.7292,3.23299e-13
147,0.0,2.7294,1.59873e-13
148,0.0,2.7296,3.44615e-13
149,0.0,2.7298,3.05535e-13
150,0.0,2.73,1.49215e-13
151,0.0,2.7302,1.52768e-13
152,0.0,2.7304,1.52768e-13
153,0.0,2.7306,2.66455e-13
154,0.0,2.7308,1.49215e-13
155,0.0,2.731,2.94877e-13
156,0.0,2.7312,2.23822e-13
157,0.0,2.7314,1.45662e-13
158,0.0,2.7316,5.00936e-13
159,0.0,2.7318,4.12117e-13
160,0.0,2.732,1.954e-13
161,0.0,2.7322,2.20269e-13
162,0.0,2.7324,2.13164e-13
163,0.0,2.7326,2.41586e-13
164,0.0,2.7328,3.16193e-13
165,0.0,2.733,2.02506e-13
166,0.0,2.7332,4.61855e-14
167,0.0,2.7334,2.87772e-13
168,0.0,2.7336,2.66455e-13
169,0.0,2.7338,2.02506e-13
170,0.0,2.734,1.42109e-13
171,0.0,2.7342,1.03029e-13
172,0.0,2.7344,3.05535e-13
173,0.0,2.7346,6.7502e-14
174,0.0,2.7348,1.45662e-13
175,0.0,2.735,7.10547e-14
176,0.0,2.7352,2.48692e-13
177,0.0,2.7354,2.16716e-13
178,0.0,2.7356,2.45139e-13
179,0.0,2.7358,1.52768e-13
180,0.0,2.736,1.13688e-13
181,0.0,2.7362,1.24346e-13
182,0.0,2.7364,1.63426e-13
183,0.0,2.7366,1.91847e-13
184,0.0,2.7368,6.39493e-14
185,0.0,2.737,1.1724e-13
186,0.0,2.7372,7.46074e-14
187,0.0,2.7374,1.5632e-13
188,0.0,2.7376,9.59237e-14
189,0.0,2.7378,1.27899e-13
190,0.0,2.738,2.84219e-13
191,0.0,2.7382,1.88295e-13
192,0.0,2.7384,2.94877e-13
193,0.0,2.7386,2.66455e-13
194,0.0,2.7388,4.2988e-13
195,0.0,2.739,2.27375e-13
196,0.0,2.7392,2.13164e-13
197,0.0,2.7394,3.23299e-13
198,0.0,2.7396,1.63426e-13
199,0.0,2.7398,1.31451e-13
200,0.0,2.74,1.20793e-13
201,0.0,2.7402,1.5632e-13
